component_id,category,component_name,specs,refurbished_priority,qty,estimated_cost_usd,source_class,notes
T3-001,Compute,AMD EPYC or Intel Xeon CPU,"AMD EPYC 7003 Series (Milan) 16–32 core | OR Intel Xeon Gold 6300 series | TDP: 155–225W | ECC support mandatory | PCIe 4.0",HIGH,1,400,ITAD,"Refurbished EPYC 7313P (16c) or 7413 (24c) are cost-effective via ITAD. EPYC preferred: superior PCIe lane count (128 lanes) for multi-GPU + NVMe + HBA simultaneously. Verify socket SP3 compatibility with chosen board."
T3-002,Motherboard,Server-Grade ATX/EATX Motherboard,"SP3 (EPYC) | EATX or ATX | ECC RDIMM support | 8x DIMM slots minimum | 2x PCIe x16 slots | TPM 2.0 header | IPMI/BMC remote management | e.g. Supermicro H12SSL-i / ASRockRack ROMED8-2T",HIGH,1,500,ITAD,"IPMI/BMC is strongly recommended — allows remote power cycling and OS management without physical access. Critical for cooperative self-hosting. Supermicro H12SSL-i is the reference board. Buy refurbished with firmware update confirmed."
T3-003,Memory,ECC RDIMM 128GB Kit,"128GB (8x16GB) DDR4-3200 ECC RDIMM | e.g. Samsung M393A2K43DB3 | Registered ECC",HIGH,1,320,ITAD,"ECC RAM is mandatory at Federation tier — single-bit error correction protects immutable ledger data and ZFS integrity. 128GB supports multiple 30B+ parameter LLM instances + ZFS ARC cache. Source from ITAD with SPD verification."
T3-004,GPU,Primary Inference GPU 24GB,"NVIDIA RTX 3090 24GB OR RTX 4090 24GB | PCIe x16 | Dual or triple slot | e.g. EVGA RTX 3090 FTW3 / Founders Edition",HIGH,1,500,ITAD,"24GB VRAM enables 70B parameter models (LLaMA-70B) via llama.cpp with quantization. RTX 3090 refurbished is the cost-performance sweet spot. Check VRAM for errors with gpu-burn or CUDA memtest before deployment."
T3-005,GPU,Secondary GPU (optional expansion),"NVIDIA RTX 3090 24GB OR A4000 16GB | PCIe x16 or x8 | e.g. NVIDIA RTX A4000",HIGH,1,400,ITAD,"Second GPU for parallel inference workloads or dedicated compute tasks. A4000 preferred for second slot (lower TDP, workstation-grade reliability). Install only if chassis airflow supports dual high-TDP cards."
T3-006,Storage,NVMe SSD 2TB (OS + Models),"M.2 2280 | PCIe 4.0 | 2TB | e.g. Samsung 980 Pro 2TB / WD Gold SN850X",MEDIUM,1,150,Consumer,"Primary NVMe for OS and LLM model weights. PCIe 4.0 mandatory for model load times at this scale. Enterprise refurbished (Samsung PM9A1 2TB) preferred."
T3-007,Storage,NVMe/SATA SSD 4TB x4 (ZFS Array),"4TB each | NVMe PCIe 3.0+ OR SATA III | Enterprise grade | e.g. Samsung PM883 4TB SATA / Seagate IronWolf 110 SSD",HIGH,4,800,ITAD,"Four drives form a ZFS RAID-Z2 array (2-drive fault tolerance). Used for immutable cooperative ledger, IPFS data, and encrypted key backups. Enterprise refurbished SATA SSDs preferred over HDD for power and noise at cooperative scale. Total raw: 16TB / usable ~8TB with RAID-Z2."
T3-008,Storage,HBA (Host Bus Adapter),"LSI 9300-8i or 9305-16i | PCIe 3.0 x8 | IT Mode (passthrough, not RAID) | 8–16 SATA/SAS ports",HIGH,1,80,ITAD,"Required to present all four ZFS drives directly to OS without hardware RAID abstraction. ZFS must manage its own redundancy. Flash to IT mode firmware before installation. Excellent ITAD availability."
T3-009,Power,Redundant PSU 1200W Kit,"1+1 Redundant | 1200W each | 80 PLUS Platinum | Hot-swap | e.g. Supermicro PWS-1K28P-SQ / DELTA DPS-1200QB",HIGH,1,300,ITAD,"Redundant PSU mandatory at Federation tier. Hot-swap allows PSU replacement without downtime. Platinum efficiency critical at sustained GPU load. Source matched pair from ITAD — Supermicro redundant PSU pairs are widely available."
T3-010,Security,TPM 2.0 Module (Server),"Infineon SLB9665 | Server-grade | Matches board header (check manual) | e.g. Supermicro AOM-TPM-9665H",NEW_ONLY,1,30,OEM,"Buy new. Federation nodes hold the highest-value Web3 key material — no compromises on TPM provenance. Verify module compatibility with specific Supermicro board SKU."
T3-011,Networking,10GbE NIC Dual-Port,"Intel X540-T2 | PCIe x8 | Dual RJ45 10GbE | OR Intel X710-DA2 (SFP+)",HIGH,1,120,ITAD,"10GbE mandatory for federation inter-node traffic and IPFS throughput at 50+ member scale. Intel X540-T2 widely available refurbished, excellent Linux driver support. Bond both ports for 20Gbps aggregate or active-passive failover."
T3-012,Networking,Managed Switch 10GbE,"8-port 10GbE managed | e.g. Netgear XS508M / MikroTik CRS309-1G-8S+IN",MEDIUM,1,200,Consumer,"Cooperative-local switch for node-to-node traffic segmentation. MikroTik preferred for RouterOS VLAN and traffic shaping support. Refurbished Netgear/Cisco SG series acceptable."
T3-013,Cooling,Server CPU Cooler / Heatsink,"Compatible with SP3 socket | Passive or active | e.g. Dynatron R27 (active) / Noctua NH-U9 TR4-SP3 with SP3 mount",NEW_ONLY,1,80,Consumer,"Verify SP3 socket mount compatibility. In 2U chassis, use a low-profile active heatsink (Dynatron R27). In tower, Noctua NH-U9 SP3 provides excellent passive headroom."
T3-014,Chassis,2U Rackmount Chassis OR Full Tower,"2U: e.g. Supermicro CSE-216 | Tower: e.g. Fractal Design Define 7 XL | Supports: EATX/ATX, dual PSU, 8+ drive bays",HIGH,1,250,ITAD,"2U rack preferred for cooperative server room density. Tower acceptable for single-room/closet deployments. Supermicro chassis often available via ITAD complete with backplane and drive caddies."
T3-015,Power,UPS 1500VA+,"1500VA / 900W minimum | Pure sine wave | USB HID | e.g. APC SRT1500XLA / CyberPower OL1500RTXL2U",MEDIUM,1,400,Consumer,"Runtime calculation: 900W system at 50% UPS load = ~8 minutes bridging time. Sufficient for clean ZFS shutdown and snapshot commit. Pure sine wave mandatory for Platinum PSU and server-grade hardware."
T3-016,Sensors,INA3221 Multi-Channel Power Monitor,"INA3221 | I2C | Three channels: Wall / UPS output / System load | e.g. Adafruit INA3221",NEW_ONLY,2,36,Consumer,"Two units: one monitoring mains/UPS, one monitoring per-GPU power rails (via PCIe power connector shunt). Feeds Iskander OS Graceful Degradation daemon with real-time federation power telemetry."
T3-017,Misc,Internal QR Code Label Set,"30x30mm polyester labels | Laser printable | Adhesive | e.g. Avery 6450 | Print from repair guide QR generator",NEW_ONLY,1,5,Consumer,"Print QR codes from Iskander Hearth repair guide URL generator. Affix inside chassis next to GPU, PSU, SSD bay, and RAM slots. Enables any cooperative member to scan a component and access the repair guide without documentation hunting."
